Name
S. Akinola
E. Monthe
M. Djenepo
C. Omeje
A. Diakhate
A. Kalabane
L. Zigi
Spinola
M. Beye
M. Munetsi
C. Egbuchulam
J. Baraye
O. Ba
S. Aw
F. Shomotun
F. Wadja
B. Banda
L. Mfeka
I. Boye
F. Arhin
J. Lelan
D. Diaw
S. Oum Gouet
I. Messaoud
C. Addai
A. Kyeremeh
S. Niang
B. Petersen
A. Talal
J. Ngongo
R. Kakeeto
F. Onyeka
P. Bahanack
M. Baidoo
J. Umerah
V. Nambishi
C. Tanor
V. Ekani
L. Sackey
