continent,Country,Name,Age,Fifa Score,Club,Value,Salary
Africa,Senegal,K. Koulibaly,26,84,Napoli,3.25E7,96000.0
Europe,Germany,T. Horn,24,84,1. FC Köln,3.1E7,39000.0
Europe,Spain,Koke,25,84,Atlético Madrid,3.95E7,84000.0
Europe,Greece,K. Manolas,26,84,Roma,3.15E7,96000.0
Europe,Germany,S. Mustafi,25,84,Arsenal,3.15E7,145000.0
Europe,Spain,Ander Herrera,27,84,Manchester United,3.2E7,190000.0
Europe,Netherlands,K. Strootman,27,84,Roma,3.5E7,105000.0
Europe,Spain,Pedro,29,84,Chelsea,3.05E7,200000.0
Europe,Switzerland,R. Burki,26,84,Borussia Dortmund,2.6E7,69000.0
Europe,Spain,Bruno,33,84,Villarreal CF,1.85E7,59000.0
Europe,Croatia,I. Perisic,28,84,Inter,3.15E7,110000.0
South America,Brazil,Willian,28,84,Chelsea,3.15E7,200000.0
Europe,Germany,S. Khedira,30,84,Juventus,2.9E7,160000.0
Europe,Germany,R. Fahrmann,28,84,FC Schalke 04,2.5E7,54000.0
Europe,Spain,Sergio Asenjo,28,84,Villarreal CF,2.5E7,46000.0
Europe,Spain,Juan Mata,29,84,Manchester United,3.05E7,195000.0
Africa,Morocco,M. Benatia,30,84,Juventus,2.3E7,145000.0
Europe,France,D. Payet,30,84,Olympique de Marseille,2.95E7,60000.0
South America,Colombia,Falcao,31,84,AS Monaco,2.8E7,68000.0
Europe,France,L. Koscielny,31,84,Arsenal,2.1E7,150000.0
South America,Brazil,Dani Alves,34,84,Paris Saint-Germain,9000000.0,115000.0
South America,Argentina,A. Gomez,29,84,Atalanta,3.1E7,60000.0
Europe,Spain,Aduriz,36,84,Athletic Club de Bilbao,1.1E7,38000.0
Europe,France,K. Mbappe,18,83,Paris Saint-Germain,4.15E7,31000.0
Europe,France,O. Dembele,20,83,FC Barcelona,4.0E7,150000.0
Africa,Guinea,N. Keita,22,83,RB Leipzig,3.4E7,68000.0
South America,Uruguay,J. Gimenez,22,83,Atlético Madrid,2.85E7,53000.0
South America,Argentina,G. Rulli,25,83,Real Sociedad,2.55E7,28000.0
Europe,France,T. Lemar,21,83,AS Monaco,3.85E7,37000.0
Europe,Portugal,Joao Mario,24,83,Inter,3.4E7,70000.0
Europe,Germany,N. Sule,21,83,FC Bayern Munich,3.05E7,78000.0
South America,Brazil,Ederson,23,83,Manchester City,2.6E7,87000.0
South America,Brazil,Fabinho,23,83,AS Monaco,2.95E7,37000.0
Africa,Egypt,M. Salah,25,83,Liverpool,3.25E7,135000.0
Europe,Italy,A. Belotti,23,83,Torino,3.7E7,58000.0
Europe,Sweden,E. Forsberg,25,83,RB Leipzig,3.15E7,75000.0
South America,Brazil,Marquinhos,23,83,Paris Saint-Germain,3.05E7,75000.0
Europe,Portugal,William Carvalho,25,83,Sporting CP,2.75E7,21000.0
Europe,France,S. Umtiti,23,83,FC Barcelona,2.95E7,135000.0
Africa,Algeria,R. Mahrez,26,83,Leicester City,3.05E7,88000.0
Europe,Netherlands,V. van Dijk,25,83,Southampton,2.75E7,89000.0
South America,Brazil,Roberto Firmino,25,83,Liverpool,3.4E7,135000.0
Europe,Portugal,Danilo Pereira,25,83,FC Porto,2.75E7,18000.0
Europe,Spain,Vitolo,27,83,UD Las Palmas,2.7E7,68000.0
Europe,Portugal,A. Lopes,26,83,Olympique Lyonnais,2.25E7,60000.0
Europe,Netherlands,S. de Vrij,25,83,Lazio,2.9E7,56000.0
Europe,Italy,M. Perin,24,83,Genoa,2.5E7,28000.0
Africa,Cameroon,J. Matip,25,83,Liverpool,2.65E7,110000.0
Africa,Senegal,I. Gueye,27,83,Everton,2.45E7,115000.0
Europe,Spain,Iago Aspas,29,83,RC Celta de Vigo,2.6E7,39000.0
South America,Argentina,N. Otamendi,29,83,Manchester City,2.0E7,140000.0
Europe,Serbia,N. Matic,28,83,Manchester United,2.1E7,140000.0
South America,Argentina,J. Pastore,28,83,Paris Saint-Germain,2.55E7,100000.0
Europe,Spain,Parejo,28,83,Valencia CF,2.55E7,45000.0
Asia,Japan,S. Kagawa,28,83,Borussia Dortmund,2.6E7,75000.0
Europe,Italy,G. Bonaventura,27,83,Milan,2.65E7,115000.0
Europe,Netherlands,B. Dost,28,83,Sporting CP,2.7E7,28000.0
Europe,France,S. N'Zonzi,28,83,Sevilla FC,2.1E7,25000.0
South America,Argentina,M. Musacchio,26,83,Milan,2.7E7,105000.0
Asia,Turkey,O. Toprak,27,83,Borussia Dortmund,2.45E7,66000.0
Europe,Spain,Jose Callejon,30,83,Napoli,2.45E7,87000.0
Europe,Italy,S. Giovinco,30,83,Toronto FC,2.5E7,15000.0
South America,Argentina,N. Gaitan,29,83,Atlético Madrid,2.55E7,70000.0
Europe,Croatia,M. Mandzukic,31,83,Juventus,2.35E7,135000.0
Europe,Germany,B. Howedes,29,83,Juventus,2.0E7,50000.0
South America,Argentina,E. Banega,29,83,Sevilla FC,2.55E7,27000.0
Europe,Portugal,Rui Patricio,29,83,Sporting CP,1.75E7,19000.0
Europe,Switzerland,Y. Sommer,28,83,Borussia Mönchengladbach,2.1E7,39000.0
Europe,France,M. Schneiderlin,27,83,Everton,2.55E7,115000.0
South America,Brazil,Jonas,33,83,SL Benfica,1.65E7,21000.0
Europe,France,K. Gameiro,30,83,Atlético Madrid,2.5E7,73000.0
Europe,Poland,L. Piszczek,32,83,Borussia Dortmund,1.45E7,66000.0
South America,Argentina,E. Garay,30,83,Valencia CF,1.9E7,40000.0
South America,Ecuador,A. Valencia,31,83,Manchester United,1.7E7,130000.0
Europe,Denmark,K. Schmeichel,30,83,Leicester City,1.9E7,65000.0
Europe,Belgium,M. Dembele,29,83,Tottenham Hotspur,2.5E7,115000.0
Europe,Spain,Borja Valero,32,83,Inter,2.0E7,80000.0
Europe,France,L. Perrin,31,83,AS Saint-Étienne,1.75E7,46000.0
South America,Argentina,L. Biglia,31,83,Milan,1.75E7,105000.0
Europe,Spain,Juanfran,32,83,Atlético Madrid,1.45E7,62000.0
Europe,Spain,Diego Lopez,35,83,RCD Espanyol,6000000.0,19000.0
Europe,Spain,Santi Cazorla,32,83,Arsenal,1.95E7,130000.0
South America,Argentina,J. Mascherano,33,83,FC Barcelona,1.05E7,155000.0
Europe,Netherlands,W. Sneijder,33,83,OGC Nice,1.55E7,47000.0
Europe,Portugal,Nani,30,83,Lazio,2.45E7,47000.0
Europe,Italy,D. De Rossi,33,83,Roma,1.05E7,73000.0
Europe,Spain,Jose Reina,34,83,Napoli,1.05E7,59000.0
Europe,Portugal,Quaresma,33,83,Beşiktaş JK,1.55E7,67000.0
Europe,Spain,Casillas,36,83,FC Porto,3500000.0,10000.0
Europe,Italy,G. Donnarumma,18,82,Milan,2.85E7,35000.0
Europe,Germany,L. Sane,21,82,Manchester City,3.45E7,125000.0
Europe,France,T. Bakayoko,22,82,Chelsea,2.6E7,105000.0
Europe,France,C. Tolisso,22,82,FC Bayern Munich,3.05E7,98000.0
Africa,Algeria,I. Slimani,29,82,Leicester City,2.2E7,100000.0
Europe,France,N. Fekir,23,82,Olympique Lyonnais,2.8E7,70000.0
Africa,Senegal,K. Balde Diao,22,82,AS Monaco,3.25E7,46000.0
Europe,Germany,J. Tah,21,82,Bayer 04 Leverkusen,2.6E7,47000.0
Europe,Italy,F. Bernardeschi,23,82,Juventus,3.05E7,110000.0
Europe,Germany,T. Werner,21,82,RB Leipzig,3.05E7,68000.0
Europe,Portugal,Andre Gomes,23,82,FC Barcelona,3.0E7,150000.0
Europe,France,A. Martial,21,82,Manchester United,3.3E7,115000.0
Europe,Germany,L. Goretzka,22,82,FC Schalke 04,3.0E7,46000.0
Europe,Netherlands,Q. Promes,25,82,Spartak Moscow,2.8E7,76000.0
Europe,Spain,Lucas Vazquez,26,82,Real Madrid CF,2.6E7,185000.0
Europe,Spain,Saul,22,82,Atlético Madrid,3.2E7,59000.0
South America,Brazil,Felipe,28,82,FC Porto,1.8E7,20000.0
South America,Colombia,C. Bacca,30,82,Villarreal CF,2.15E7,125000.0
Europe,Italy,F. Vazquez,28,82,Sevilla FC,2.25E7,27000.0
Europe,Croatia,M. Kovacic,23,82,Real Madrid CF,3.0E7,150000.0
Europe,Spain,Sergio Rico,23,82,Sevilla FC,2.15E7,16000.0
Europe,Spain,Manu Trigueros,25,82,Villarreal CF,2.75E7,43000.0
Europe,Germany,A. Rudiger,24,82,Chelsea,2.45E7,105000.0
Europe,France,F. Thauvin,24,82,Olympique de Marseille,2.8E7,40000.0
Europe,Montenegro,S. Savic,26,82,Atlético Madrid,2.4E7,62000.0
Europe,Spain,Inigo Martinez,26,82,Real Sociedad,2.4E7,37000.0
Europe,Spain,Roque Mesa,28,82,Swansea City,1.8E7,85000.0
Europe,Italy,A. Florenzi,26,82,Roma,2.2E7,73000.0
Europe,Netherlands,D. Klaassen,24,82,Everton,2.75E7,110000.0
Europe,Germany,K. Bellarabi,27,82,Bayer 04 Leverkusen,2.3E7,67000.0
Europe,Spain,Suso,23,82,Milan,2.95E7,110000.0
Europe,Spain,Deulofeu,23,82,FC Barcelona,3.1E7,165000.0
South America,Argentina,M. Rojo,27,82,Manchester United,2.1E7,130000.0
South America,Brazil,Lucas,24,82,Paris Saint-Germain,2.8E7,92000.0
Europe,Italy,F. Acerbi,29,82,Sassuolo,1.7E7,68000.0
Europe,Switzerland,G. Xhaka,24,82,Arsenal,2.75E7,110000.0
Europe,Spain,Jonathan Viera,27,82,UD Las Palmas,2.3E7,31000.0
Europe,Portugal,Pizzi,27,82,SL Benfica,2.3E7,19000.0
South America,Brazil,Willian Jose,25,82,Real Sociedad,2.9E7,42000.0
Europe,Germany,O. Baumann,27,82,TSG 1899 Hoffenheim,1.8E7,37000.0
South America,Chile,G. Medel,29,82,Beşiktaş JK,1.7E7,64000.0
Europe,Spain,Victor Ruiz,28,82,Villarreal CF,2.0E7,43000.0
Europe,Switzerland,X. Shaqiri,25,82,Stoke City,2.8E7,85000.0
South America,Colombia,J. Cuadrado,29,82,Juventus,2.15E7,130000.0
Europe,Italy,C. Immobile,27,82,Lazio,2.6E7,70000.0
South America,Brazil,Douglas Costa,26,82,Juventus,2.4E7,115000.0
Europe,Spain,Iborra,29,82,Leicester City,1.7E7,85000.0
Europe,Germany,K. Trapp,26,82,Paris Saint-Germain,1.85E7,71000.0
Africa,Kenya,V. Wanyama,26,82,Tottenham Hotspur,2.3E7,99000.0
South America,Brazil,Taison,29,82,Shakhtar Donetsk,2.15E7,1000.0
South America,Brazil,Marlos,29,82,Shakhtar Donetsk,2.15E7,1000.0
Europe,Germany,L. Stindl,28,82,Borussia Mönchengladbach,2.3E7,56000.0
Europe,Italy,M. Balotelli,26,82,OGC Nice,2.45E7,51000.0
Europe,Poland,W. Szczesny,27,82,Juventus,1.8E7,90000.0
Europe,Iceland,G. Sigursson,27,82,Everton,2.3E7,130000.0
Africa,Algeria,Y. Brahimi,27,82,FC Porto,2.3E7,21000.0
Europe,Austria,M. Arnautovic,28,82,West Ham United,2.25E7,125000.0
Europe,Germany,M. Kruse,29,82,SV Werder Bremen,2.2E7,47000.0
Europe,Greece,O. Karnezis,31,82,Watford,1.35E7,30000.0
Europe,Serbia,L. Fejsa,28,82,SL Benfica,1.8E7,18000.0
South America,Uruguay,F. Muslera,31,82,Galatasaray SK,1.35E7,57000.0
Europe,Croatia,V. Corluka,31,82,Lokomotiv Moscow,1.5E7,54000.0
Europe,Netherlands,G. Wijnaldum,26,82,Liverpool,2.7E7,130000.0
South America,Argentina,F. Fazio,30,82,Roma,1.65E7,73000.0
Europe,France,O. Giroud,30,82,Arsenal,2.15E7,140000.0
Europe,Serbia,B. Ivanovic,33,82,Zenit St. Petersburg,9000000.0,73000.0
North America,Mexico,J. Hernandez,29,82,West Ham United,2.2E7,135000.0
Europe,Spain,Benat,30,82,Athletic Club de Bilbao,2.05E7,35000.0
Europe,Germany,L. Bender,28,82,Bayer 04 Leverkusen,2.0E7,64000.0
South America,Chile,C. Bravo,34,82,Manchester City,9000000.0,110000.0
South America,Brazil,Naldo,34,82,FC Schalke 04,6500000.0,48000.0
North America,Mexico,C. Vela,28,82,Real Sociedad,2.25E7,46000.0
Europe,Italy,E. Viviano,31,82,Sampdoria,1.35E7,37000.0
Europe,Germany,G. Castro,30,82,Borussia Dortmund,2.05E7,72000.0
Europe,France,S. Nasri,30,82,Antalyaspor,2.1E7,29000.0
Europe,France,S. Mandanda,32,82,Olympique de Marseille,1.25E7,31000.0
Europe,Italy,A. Consigli,30,82,Sassuolo,1.4E7,52000.0
Europe,Portugal,Joao Moutinho,30,82,AS Monaco,2.05E7,48000.0
Europe,France,B. Costil,29,82,Girondins de Bordeaux,1.5E7,46000.0
Europe,Spain,Raul Albiol,31,82,Napoli,1.5E7,73000.0
Europe,Germany,M. Gomez,31,82,VfL Wolfsburg,2.0E7,85000.0
South America,Brazil,Raffael,32,82,Borussia Mönchengladbach,1.75E7,54000.0
Asia,Turkey,A. Turan,30,82,FC Barcelona,2.05E7,170000.0
South America,Brazil,Fernandinho,32,82,Manchester City,1.25E7,130000.0
Europe,Spain,David Villa,35,82,New York City Football Club,1.0E7,12000.0
Europe,Switzerland,S. Lichtsteiner,33,82,Juventus,8500000.0,115000.0
Europe,Norway,R. Jarstein,32,82,Hertha BSC Berlin,1.25E7,30000.0
South America,Brazil,Gabriel Jesus,20,81,Manchester City,3.1E7,115000.0
Europe,Portugal,Nelson Semedo,23,81,FC Barcelona,2.05E7,125000.0
Europe,Portugal,Gelson Martins,22,81,Sporting CP,2.5E7,20000.0
South America,Brazil,Malcom,20,81,Girondins de Bordeaux,2.45E7,47000.0
Europe,Germany,J. Weigl,21,81,Borussia Dortmund,2.1E7,46000.0
South America,Colombia,D. Sanchez,21,81,Tottenham Hotspur,2.15E7,70000.0
Europe,Croatia,A. Kramaric,26,81,TSG 1899 Hoffenheim,2.2E7,50000.0
Europe,Croatia,M. Brozovic,24,81,Inter,2.3E7,64000.0
Europe,Spain,Williams,23,81,Athletic Club de Bilbao,2.45E7,31000.0
Europe,Spain,Dani Garcia,27,81,SD Eibar,1.7E7,26000.0
Europe,Denmark,A. Christensen,21,81,Chelsea,2.3E7,86000.0
Europe,Germany,J. Kimmich,22,81,FC Bayern Munich,2.05E7,81000.0
Europe,Portugal,Bruma,22,81,RB Leipzig,2.4E7,63000.0
Europe,Italy,D. Berardi,22,81,Sassuolo,2.45E7,62000.0
Europe,France,M. Sanson,22,81,Olympique de Marseille,2.4E7,34000.0
Europe,France,A. Rabiot,22,81,Paris Saint-Germain,2.35E7,77000.0
Europe,Portugal,R. Guerreiro,23,81,Borussia Dortmund,2.4E7,58000.0
Africa,Morocco,H. Ziyech,24,81,Ajax,2.3E7,16000.0
Europe,Italy,Jorginho,25,81,Napoli,2.2E7,71000.0
Europe,Spain,Hector Bellerin,22,81,Arsenal,2.1E7,91000.0
Europe,Italy,S. Zaza,26,81,Valencia CF,2.1E7,44000.0
Europe,Belgium,T. Meunier,25,81,Paris Saint-Germain,1.85E7,77000.0
South America,Brazil,Felipe Anderson,24,81,Lazio,2.4E7,57000.0
South America,Brazil,Rafinha,24,81,FC Barcelona,2.35E7,140000.0
Europe,Spain,Nacho Fernandez,27,81,Real Madrid CF,1.75E7,145000.0
Europe,Netherlands,J. Cillessen,28,81,FC Barcelona,1.5E7,125000.0
Europe,Spain,Sergi Roberto,25,81,FC Barcelona,1.95E7,140000.0
Europe,France,W. Ben Yedder,26,81,Sevilla FC,2.1E7,26000.0
Europe,Spain,Lucas Perez,28,81,RC Deportivo de La Coruña,1.85E7,135000.0
Europe,Spain,Bartra,26,81,Borussia Dortmund,1.8E7,61000.0
South America,Uruguay,S. Coates,26,81,Sporting CP,1.8E7,21000.0
Europe,Poland,G. Krychowiak,27,81,West Bromwich Albion,1.75E7,81000.0
Europe,Slovenia,K. Kampl,26,81,RB Leipzig,2.1E7,73000.0
Europe,Croatia,D. Lovren,27,81,Liverpool,1.75E7,110000.0
Europe,Ukraine,A. Yarmolenko,27,81,Borussia Dortmund,1.85E7,72000.0
Africa,Morocco,Y. Belhanda,27,81,Galatasaray SK,1.85E7,71000.0
Europe,Switzerland,R. Rodriguez,24,81,Milan,1.85E7,83000.0
North America,Mexico,J. Corona,24,81,FC Porto,2.3E7,17000.0
Europe,Spain,Mario Gaspar,26,81,Villarreal CF,1.8E7,38000.0
Europe,Spain,Marcos Alonso,26,81,Chelsea,1.75E7,115000.0
Europe,Germany,M. Gotze,25,81,Borussia Dortmund,2.25E7,63000.0
Europe,Finland,L. Hradecky,27,81,Eintracht Frankfurt,1.45E7,28000.0
Europe,Spain,Illarramendi,27,81,Real Sociedad,1.8E7,37000.0
Europe,Spain,De Marcos,28,81,Athletic Club de Bilbao,1.4E7,31000.0
Europe,Spain,Iturraspe,28,81,Athletic Club de Bilbao,1.75E7,33000.0
Europe,Germany,S. Rudy,27,81,FC Bayern Munich,2.0E7,105000.0
South America,Argentina,M. Lanzini,24,81,West Ham United,2.45E7,95000.0
Africa,Algeria,R. Boudebouz,27,81,Real Betis Balompié,2.05E7,32000.0
Europe,Spain,Camacho,27,81,VfL Wolfsburg,1.8E7,66000.0
South America,Brazil,Paulinho,28,81,FC Barcelona,1.75E7,165000.0
Europe,Croatia,N. Kalinic,29,81,Milan,1.8E7,84000.0
South America,Brazil,Giuliano,27,81,Fenerbahçe SK,2.05E7,80000.0
Europe,Belgium,C. Benteke,26,81,Crystal Palace,2.2E7,75000.0
South America,Argentina,D. Perotti,28,81,Roma,1.8E7,84000.0
Europe,Italy,M. Parolo,32,81,Lazio,1.35E7,60000.0
Europe,Greece,K. Mitroglou,29,81,Olympique de Marseille,1.8E7,44000.0
Europe,France,M. Sakho,27,81,Crystal Palace,1.7E7,63000.0
Europe,France,A. Rami,31,81,Olympique de Marseille,1.2E7,35000.0
Europe,Montenegro,S. Jovetic,27,81,AS Monaco,2.1E7,48000.0
Europe,Denmark,S. Kjr,28,81,Sevilla FC,1.6E7,23000.0
Europe,Spain,Adan,30,81,Real Betis Balompié,1.15E7,24000.0
Europe,France,M. Valbuena,32,81,Fenerbahçe SK,1.4E7,86000.0
Europe,Belgium,S. Mignolet,29,81,Liverpool,1.2E7,91000.0
Europe,Italy,D. Astori,30,81,Fiorentina,1.3E7,68000.0
Europe,Belgium,K. Mirallas,29,81,Everton,1.75E7,125000.0
Europe,Spain,Raul Garcia,30,81,Athletic Club de Bilbao,1.7E7,32000.0
Europe,France,H. Ben Arfa,30,81,Paris Saint-Germain,1.7E7,88000.0
South America,Brazil,Dante,33,81,OGC Nice,7000000.0,39000.0
Europe,France,A. Gignac,31,81,Tigres U.A.N.L.,1.6E7,84000.0
Europe,Spain,Gabi,33,81,Atlético Madrid,1.05E7,62000.0
South America,Argentina,G. Rodriguez,33,81,San Lorenzo de Almagro,7000000.0,27000.0
Europe,Croatia,D. Srna,35,81,Shakhtar Donetsk,3800000.0,1000.0
Europe,Germany,B. Schweinsteiger,32,81,Chicago Fire Soccer Club,1.35E7,13000.0
Europe,France,C. Carrasso,35,81,Galatasaray SK,4200000.0,34000.0
Europe,Spain,Moya,33,81,Atlético Madrid,9000000.0,46000.0
Europe,Germany,P. Mertesacker,32,81,Arsenal,1.0E7,110000.0
Europe,Italy,T. Motta,34,81,Paris Saint-Germain,5500000.0,81000.0
Europe,Spain,Fernando Torres,33,81,Atlético Madrid,1.1E7,68000.0
Africa,Cameroon,S. Eto'o,36,81,Antalyaspor,6500000.0,22000.0
Europe,Serbia,S. Milinkovic-Savic,22,80,Lazio,2.0E7,52000.0
Europe,Belgium,Y. Tielemans,20,80,AS Monaco,2.35E7,35000.0
South America,Brazil,Jemerson,24,80,AS Monaco,1.75E7,35000.0
Africa,Algeria,N. Bentaleb,22,80,FC Schalke 04,1.95E7,42000.0
South America,Brazil,Alisson,24,80,Roma,1.4E7,45000.0
South America,Brazil,Alex Telles,24,80,FC Porto,1.6E7,15000.0
Europe,Germany,J. Brandt,21,80,Bayer 04 Leverkusen,2.2E7,49000.0
Europe,Germany,K. Demirbay,23,80,TSG 1899 Hoffenheim,1.95E7,40000.0
Europe,Italy,D. Rugani,22,80,Juventus,1.9E7,88000.0
Europe,Spain,Samu Castillejo,22,80,Villarreal CF,2.0E7,36000.0
Europe,Poland,P. Zielinski,23,80,Napoli,2.05E7,64000.0
Europe,Portugal,Ricardo Pereira,23,80,FC Porto,1.7E7,15000.0
